emp_no,first_name,last_name,from_date,title
421312,Mariangiola,Bashian,1999-09-18,Engineer
254399,Armond,Lores,1999-09-16,Technique Leader
438557,Lidong,Swist,1999-09-16,Engineer
287323,Steve,Dengi,1999-09-15,Staff
72190,Sajjad,Waeselynck,1999-09-13,Engineer
291669,Faiza,Bach,1999-09-13,Engineer
49464,Siddarth,Cappelletti,1999-09-10,Staff
223595,Chiranjit,Dredge,1999-09-05,Technique Leader
94331,Ramzi,Cronau,1999-09-03,Technique Leader
225867,Ramalingam,Remmele,1999-09-03,Senior Engineer
89346,Mansur,Comyn,1999-08-31,Engineer
499495,Baoqiu,Kakkar,1999-08-30,Engineer
499194,Padma,Delgrange,1999-08-27,Senior Staff
109703,Arco,Walston,1999-08-16,Engineer
429899,Ranan,Marsiglia,1999-08-13,Staff
294446,Claudi,Ruemmler,1999-08-13,Staff
20128,Kazunori,Peak,1999-08-13,Senior Staff
102620,Adin,Templeman,1999-08-12,Engineer
205789,Limsoon,Skafidas,1999-08-10,Senior Staff
83280,Francesca,Ellozy,1999-08-08,Senior Engineer
241728,Limsoon,Boudaillier,1999-08-08,Senior Engineer
107737,Fabrizio,Chleq,1999-07-31,Senior Engineer
85414,Chiradeep,Callaway,1999-07-30,Staff
105342,Kwun,Reeker,1999-07-29,Technique Leader
471397,Nigel,Zirintsis,1999-07-23,Engineer
272316,Surveyors,Muhling,1999-07-19,Engineer
427823,Jaques,Gecsei,1999-07-13,Staff
215746,Sven,Speer,1999-07-08,Staff
202403,Gully,Perko,1999-07-07,Engineer
58454,Ziya,Zambonelli,1999-06-29,Engineer
442898,Aksel,Gire,1999-06-27,Engineer
98306,Ziya,Kadhim,1999-06-24,Senior Engineer
479695,Masamitsu,Murrill,1999-06-23,Senior Staff
99057,Shugo,Reeken,1999-06-21,Staff
282547,Nahum,Codenie,1999-06-14,Engineer
441954,Leszek,Marchegay,1999-06-13,Engineer
498185,Caolyn,Marciano,1999-06-06,Senior Engineer
230865,Takushi,Brattka,1999-06-03,Staff
263370,Shakhar,Ranze,1999-05-29,Staff
43848,Phillip,Oxenboll,1999-05-26,Engineer
297232,Lokesh,Saoudi,1999-05-25,Senior Staff
497391,Paris,Lieblein,1999-05-19,Engineer
30484,Sailaja,Chvatal,1999-05-18,Staff
448900,Mart,Talmor,1999-05-11,Staff
263012,Hideo,Buchter,1999-05-01,Staff
458383,Mabhin,Foote,1999-04-23,Engineer
30154,Mayuko,Skafidas,1999-04-19,Technique Leader
66757,Yonghong,Baig,1999-04-10,Staff
426153,Shahaf,Luce,1999-04-06,Senior Staff
63441,Hinrich,Scallan,1999-04-04,Staff
425437,Moni,Staudhammer,1999-03-23,Engineer
49177,Tze,Bach,1999-03-09,Engineer
409805,Frazer,Candan,1999-03-05,Senior Engineer
61147,Leszek,Werthner,1999-03-03,Staff
409391,Willard,Verspoor,1999-02-28,Engineer
414814,Dayanand,Wielonsky,1999-02-28,Staff
35642,Ashish,Talmon,1999-02-28,Engineer
429954,Renny,Gladwell,1999-02-27,Staff
27378,Piyawadee,Leppanen,1999-02-25,Senior Staff
243077,Kazunori,Perz,1999-02-25,Senior Engineer
53314,Eberhardt,Carrera,1999-02-23,Staff
253838,Stafford,Terlouw,1999-02-21,Assistant Engineer
60238,Erzsebet,Claffy,1999-02-19,Staff
264939,Bogdan,Bahi,1999-02-13,Engineer
425830,Guther,Conia,1999-02-13,Engineer
10663,Teunis,Noriega,1999-02-12,Technique Leader
290769,Lalit,Blokdijk,1999-02-01,Senior Engineer
69936,Lalit,Unni,1999-01-31,Assistant Engineer
286452,Behnaam,Bierbaum,1999-01-31,Engineer
88103,Goo,Bresenham,1999-01-31,Senior Staff
417435,Bouchung,Zaumen,1999-01-29,Senior Staff
59640,Zita,Hiltgen,1999-01-26,Staff
469104,Nadjib,Comellas,1999-01-22,Senior Engineer
463023,Itzchak,Penn,1999-01-21,Staff
20313,Candida,Benveniste,1999-01-20,Engineer
87353,Quingbo,Coombs,1999-01-17,Senior Engineer
235793,Jayesh,Spinelli,1999-01-16,Senior Engineer
63566,Heekeun,Slaats,1999-01-12,Senior Staff
92577,Zhanqiu,Farrow,1999-01-10,Assistant Engineer
452137,Subir,Miake,1999-01-09,Senior Engineer
457146,Jinpo,Heyers,1999-01-07,Staff
481790,Haldun,Erie,1999-01-01,Senior Engineer
12643,Morrie,Schurmann,1998-12-31,Staff
298953,Zita,Syang,1998-12-29,Staff
486808,Geoffrey,Siochi,1998-12-27,Senior Engineer
243018,Bowen,Deverell,1998-12-27,Senior Staff
459356,Pramod,Wendorf,1998-12-25,Engineer
432257,Kwangjo,Hiltgen,1998-12-22,Engineer
294652,Hironobu,Brodie,1998-12-21,Engineer
82919,Shigeu,Claffy,1998-12-19,Engineer
99590,Dhritiman,Anily,1998-12-16,Staff
17447,Zengping,Boreale,1998-12-16,Staff
26629,Nevin,Rodham,1998-12-14,Senior Staff
205174,Leszek,Spinelli,1998-12-10,Staff
85288,Younwoo,Luders,1998-12-08,Engineer
227681,Mikhail,Rousseau,1998-11-30,Staff
91333,Lobel,Stafford,1998-11-29,Staff
443108,Christfried,Atrawala,1998-11-29,Senior Staff
280291,Lenore,Badache,1998-11-24,Staff
52956,Khalil,Picci,1998-11-24,Engineer
288665,Horward,Khasidashvili,1998-11-19,Senior Engineer
58990,Palash,Trelles,1998-11-18,Engineer
245664,Manohar,Kilgore,1998-11-17,Staff
240285,Kolar,Greenaway,1998-11-14,Staff
490551,Lalit,Lindqvist,1998-11-07,Engineer
475538,Christophe,Leaver,1998-10-31,Staff
246364,Alper,Tiemann,1998-10-29,Engineer
444465,Prasadram,Bultermann,1998-10-25,Senior Engineer
404018,Valery,Babb,1998-10-19,Senior Engineer
465853,Kwan,Kampfer,1998-10-16,Staff
220799,Perla,Orlowska,1998-10-13,Senior Engineer
436915,Feixiong,Haraldson,1998-10-11,Staff
244605,Masoud,Suwa,1998-10-10,Senior Staff
296062,Shaz,Driscoll,1998-10-03,Staff
72194,Feiyu,Siepmann,1998-10-01,Senior Engineer
457611,Indrajit,Krogh,1998-09-18,Engineer
227899,Garnik,Luce,1998-09-15,Staff
251814,Mitsuyuki,Zockler,1998-09-14,Technique Leader
499260,Danae,Honglei,1998-09-14,Engineer
471532,Feiyu,Decleir,1998-09-13,Technique Leader
28988,Tua,Giveon,1998-09-09,Technique Leader
428160,Jamaludin,Kalorkoti,1998-09-06,Staff
415187,Juyoung,Peltason,1998-09-01,Assistant Engineer
286779,Sigeru,Versino,1998-08-31,Engineer
56847,Menkae,Chinin,1998-08-27,Senior Engineer
18583,Stafford,Honglei,1998-08-16,Staff
481397,Luisa,Chelton,1998-08-13,Assistant Engineer
497007,Oldrich,Adachi,1998-08-09,Engineer
287334,Elliott,Speer,1998-08-08,Engineer
217800,Shay,Servieres,1998-08-06,Senior Staff
10122,Ohad,Esposito,1998-08-06,Technique Leader
49477,Baocai,Leaver,1998-08-05,Senior Staff
205018,Yahiko,Awdeh,1998-08-05,Engineer
454338,Mohammed,Georg,1998-08-03,Engineer
490568,Zita,Reistad,1998-07-23,Senior Engineer
39952,Otmar,Sudbeck,1998-07-22,Staff
201739,Genta,Terekhov,1998-07-21,Assistant Engineer
477350,Terresa,Vigier,1998-07-08,Staff
291612,Siamak,Gomatam,1998-07-08,Engineer
89664,Pranjal,Rossi,1998-07-07,Staff
29418,Valery,Mersereau,1998-07-01,Assistant Engineer
444643,Berna,Schonegge,1998-06-28,Staff
67548,Fumitaka,Roohalamini,1998-06-27,Staff
224135,Annemarie,Bressoud,1998-06-23,Engineer
78363,Susumu,Fritzsche,1998-06-23,Engineer
84451,Shiv,Aumann,1998-06-14,Senior Engineer
210786,Werner,Ranze,1998-06-05,Staff
260249,Vugranam,Beausoleil,1998-05-14,Staff
243898,Arch,Basawa,1998-05-10,Staff
419099,Heon,Broomell,1998-05-06,Staff
204470,Hein,Lichtner,1998-05-02,Staff
84508,Tommaso,Vidya,1998-05-02,Engineer
29380,Satoru,Vidal,1998-05-02,Assistant Engineer
29130,Xumin,Thorensen,1998-04-26,Staff
246902,Shih,Shanbhogue,1998-04-19,Staff
488619,Georgy,Bennis,1998-04-11,Engineer
38947,Shuichi,Ruemmler,1998-04-08,Senior Staff
66530,Dung,Leaver,1998-04-04,Staff
82511,Uwe,Koblick,1998-04-04,Engineer
285906,Arnould,Buescher,1998-03-26,Engineer
46834,Tooru,Daescu,1998-03-20,Senior Staff
85445,Yongdong,Pollock,1998-03-17,Staff
404788,Basem,Beausoleil,1998-03-16,Engineer
219967,Susanna,Reeken,1998-03-16,Senior Staff
276868,Alois,Sanella,1998-03-13,Staff
459685,Hirochika,Goldhammer,1998-03-12,Engineer
297474,Irena,Terkki,1998-03-11,Staff
273396,Wayne,Baba,1998-03-07,Engineer
469527,Halsur,Ibel,1998-03-05,Staff
223593,Hidefumi,Moehrke,1998-03-04,Staff
27686,Manu,Rosiles,1998-03-03,Senior Staff
261631,Jianhua,Huttel,1998-02-23,Engineer
220528,Sibyl,Rabehasaina,1998-02-23,Senior Staff
228098,IEEE,Kroll,1998-02-17,Engineer
253707,Insup,Hainaut,1998-02-11,Staff
270716,Shunichi,Baer,1998-02-04,Staff
103342,Beshir,Hellwagner,1998-02-03,Engineer
209443,Krassimir,Garnier,1998-01-26,Senior Staff
222616,Badri,Schapire,1998-01-19,Assistant Engineer
473940,Avishai,Majewski,1998-01-10,Engineer
91256,Gunilla,Milicic,1998-01-09,Staff
454378,Gina,Ossenbruggen,1998-01-03,Technique Leader
222926,Limsoon,Erol,1997-12-31,Senior Engineer
262328,Mayuko,Vural,1997-12-24,Staff
488095,Francoise,Hegner,1997-12-23,Senior Staff
483838,Sham,Kavanagh,1997-12-18,Assistant Engineer
216502,Xiaocheng,Suermann,1997-12-15,Engineer
71710,Hitomi,Takanami,1997-12-15,Assistant Engineer
262752,Pramod,Bierman,1997-12-12,Engineer
426824,Gopalakrishnan,Mawatari,1997-12-07,Senior Staff
207021,Jacqueline,Akaboshi,1997-12-06,Engineer
430593,Janalee,Lanzelotte,1997-12-01,Senior Staff
271106,Taisook,Kampfer,1997-11-30,Engineer
246764,Shuzo,Czaja,1997-11-29,Staff
279115,Maren,DuCasse,1997-11-29,Engineer
81644,Divine,Ghandeharizadeh,1997-11-28,Staff
256216,Halsur,Brodal,1997-11-22,Engineer
485799,Yoshimitsu,Litvinov,1997-11-22,Senior Staff
251403,Utpal,DuBourdieux,1997-11-19,Technique Leader
96571,Kokou,Garrabrants,1997-11-05,Senior Engineer
478439,Yuichiro,Bale,1997-11-04,Technique Leader
268043,Narain,Mikschl,1997-11-02,Engineer
36733,Uma,Reinhard,1997-11-01,Staff
424569,Danco,Luff,1997-10-30,Engineer
209101,Xinyu,Edelhoff,1997-10-26,Senior Engineer
471552,Basem,Lortz,1997-10-25,Staff
457938,Arch,Picco,1997-10-22,Senior Staff
467918,Tsuneo,Skrikant,1997-10-21,Staff
40301,Spyrose,Felder,1997-10-20,Senior Engineer
282191,Alper,Shinomoto,1997-10-20,Engineer
427805,Haldun,Compeau,1997-10-15,Senior Staff
448769,Mong,Dichev,1997-10-11,Technique Leader
30938,Yakkov,Samarati,1997-10-10,Senior Staff
260361,Reinhold,Rahier,1997-10-09,Engineer
90211,Bader,Denis,1997-10-06,Engineer
420759,Raimond,Solovay,1997-10-03,Staff
50453,Aron,Harbusch,1997-10-02,Staff
230287,Renny,Alameldin,1997-09-28,Assistant Engineer
84029,Babette,Eugenio,1997-09-21,Staff
457832,Jackson,Zielinski,1997-09-12,Senior Engineer
474763,Mayuko,Clouatre,1997-09-04,Engineer
255779,Heejo,Merle,1997-09-04,Technique Leader
291352,Danai,Trelles,1997-08-26,Technique Leader
78469,Leucio,Cappelli,1997-08-22,Staff
414091,Wuxu,Kuhnemann,1997-08-19,Engineer
273806,Hongzhu,Beetstra,1997-08-18,Staff
220418,Poorav,Laventhal,1997-08-16,Staff
85702,Udi,Merks,1997-08-15,Engineer
442700,Siddarth,Masada,1997-08-11,Staff
63706,Sedat,Itzigehl,1997-07-31,Engineer
247456,Masako,Bahk,1997-07-31,Engineer
489928,Satoru,Janetzko,1997-07-26,Assistant Engineer
460131,Adly,Hambrick,1997-07-25,Staff
46000,Zhaofang,Penn,1997-07-24,Senior Staff
432523,Takahiro,Maquelin,1997-07-21,Engineer
202291,Ortrun,Schmiedel,1997-07-18,Engineer
493744,Leni,Kropatsch,1997-07-17,Senior Engineer
66382,Domenico,Candan,1997-07-13,Engineer
95406,Alair,Lyonns,1997-07-12,Engineer
492639,Sanjoy,Porenta,1997-07-10,Engineer
85216,Ferdinand,Rosiles,1997-07-08,Senior Staff
214866,Gopalakrishnan,Angel,1997-07-05,Senior Engineer
404573,Eberhardt,Spelt,1997-07-05,Staff
43154,Maha,Waterhouse,1997-07-04,Senior Staff
439377,Mari,Plessier,1997-07-04,Senior Engineer
458191,George,Atchley,1997-07-02,Staff
299718,Denny,Shobatake,1997-06-22,Senior Staff
210449,Gino,Lagarias,1997-06-22,Engineer
431882,Hideo,Varman,1997-06-19,Engineer
297905,Marc,Bahl,1997-06-18,Assistant Engineer
56829,Nagui,Gruenwald,1997-06-14,Engineer
249325,Ute,Pokrovskii,1997-06-09,Staff
203495,Zongyan,Gips,1997-05-31,Technique Leader
247612,Chiranjit,Constantine,1997-05-25,Engineer
89806,Xiadong,Shinomoto,1997-05-24,Engineer
109552,Menkae,Etalle,1997-05-21,Engineer
498337,Naraig,Docker,1997-05-17,Staff
426819,Sandeepan,Kulisch,1997-05-16,Engineer
261986,Gila,Ramsak,1997-05-13,Senior Engineer
60845,Bedir,Siegrist,1997-05-13,Engineer
485577,Rafael,Menhoudj,1997-04-27,Senior Engineer
252185,Chaosheng,Conta,1997-04-14,Assistant Engineer
87129,Keung,Neiman,1997-04-13,Staff
61377,Dannz,Ohori,1997-04-13,Senior Staff
295411,Chiranjit,Serot,1997-04-04,Staff
239706,Arunas,Bugrara,1997-04-03,Assistant Engineer
213140,Tru,Danecki,1997-03-31,Staff
35798,Ulf,Oberman,1997-03-15,Senior Engineer
41357,Willard,Vernadat,1997-03-04,Engineer
39000,Martijn,Vendrig,1997-03-03,Senior Staff
424685,Changho,Veevers,1997-03-03,Senior Staff
63294,Tetsushi,Tanemo,1997-03-01,Engineer
485817,Mahmut,Bolotov,1997-02-21,Engineer
479601,Kayoko,Bahi,1997-02-19,Staff
448994,Haldun,Syang,1997-02-11,Staff
44054,Alenka,Ritcey,1997-02-09,Engineer
266881,Mokhtar,Sabnani,1997-02-04,Senior Staff
95181,Yishai,Cappelli,1997-01-30,Staff
44265,Maria,Eppinger,1997-01-30,Engineer
69878,Chinya,Cooke,1997-01-29,Engineer
274369,Ranga,Waymire,1997-01-27,Senior Staff
46328,Wuxu,Trogemann,1997-01-27,Senior Staff
299580,Luisa,Itzfeldt,1997-01-23,Engineer
447966,Kamakshi,Hebert,1997-01-17,Engineer
93278,Magdalena,Penn,1997-01-04,Engineer
259042,Xiaoqiang,Farrow,1997-01-01,Staff
238252,Uno,Suppi,1996-12-27,Staff
460707,Yoshinari,Lanteri,1996-12-25,Engineer
27699,Falguni,Pezzoli,1996-12-23,Engineer
479024,Ewing,Kalorkoti,1996-12-21,Engineer
295268,Eben,Calkin,1996-12-19,Staff
52040,Phule,Heijenga,1996-12-08,Senior Staff
452325,Taiji,Berstel,1996-12-02,Engineer
222878,Annemarie,Zallocco,1996-12-01,Senior Engineer
31568,Mark,Lalonde,1996-11-24,Staff
432787,Toshiko,Ibel,1996-11-23,Senior Engineer
292210,Masaru,Huhdanpaa,1996-11-23,Senior Engineer
494493,Masasuke,Koprowski,1996-11-20,Staff
214427,Peer,Molberg,1996-11-17,Engineer
242081,Tomokazu,Pargas,1996-11-15,Assistant Engineer
243576,Abdulah,Lodder,1996-11-10,Staff
31514,Harngdar,Schapire,1996-11-09,Engineer
414714,Chinho,Delgrande,1996-11-07,Senior Staff
84840,Sverrir,Neimat,1996-11-03,Staff
208639,Larisa,Lukaszewicz,1996-10-30,Senior Staff
47139,Marco,Usdin,1996-10-29,Engineer
79310,Jeong,Cunliffe,1996-10-27,Senior Staff
245164,Filipp,Winter,1996-10-24,Senior Engineer
440870,Filipp,Hasham,1996-10-14,Senior Staff
83941,Zsolt,Hagimont,1996-10-08,Senior Staff
50293,Xinan,Rindone,1996-10-08,Engineer
52590,Jouni,Munoz,1996-10-07,Senior Staff
400046,Hilari,Christ,1996-10-07,Senior Staff
50311,Mooi,Stafford,1996-10-06,Senior Engineer
91229,Yahiko,Hebden,1996-10-03,Engineer
84315,Kristina,Baumann,1996-09-26,Assistant Engineer
260408,Sasan,Brookner,1996-09-03,Senior Staff
411143,Goncalo,Barbanera,1996-09-01,Senior Staff
407522,Tommaso,Raczkowsky,1996-08-29,Staff
248256,Sajjan,Falby,1996-08-29,Staff
248953,Percy,Sudbeck,1996-08-29,Assistant Engineer
221369,Abdulah,Pocchiola,1996-08-28,Engineer
93220,Richara,Walston,1996-08-27,Senior Engineer
66643,Jianhao,Tomescu,1996-08-26,Engineer
437395,Sumant,Thambidurai,1996-08-24,Senior Staff
484498,Herbert,Hammerschmidt,1996-08-22,Engineer
203720,Sasan,Thimonier,1996-08-21,Senior Staff
280525,Kish,Herbst,1996-08-18,Staff
426228,Supot,Badache,1996-08-17,Engineer
416892,Shooichi,Vandervoorde,1996-08-16,Engineer
472143,Yahiko,Sommen,1996-08-14,Senior Staff
240132,Mizuhito,Kobara,1996-08-09,Staff
292110,Menkae,Showalter,1996-08-09,Engineer
483401,Rosita,Pokrovskii,1996-08-03,Senior Staff
272141,Tsutomu,Neiman,1996-07-31,Staff
75703,Kyoichi,Erman,1996-07-25,Engineer
219417,Subhrajyoti,Denna,1996-07-25,Staff
236315,IEEE,Raczkowsky,1996-07-24,Technique Leader
485253,Gladys,Parhami,1996-07-20,Senior Staff
286029,Jaques,Nanard,1996-07-16,Staff
205627,Stabislas,Broder,1996-07-16,Engineer
421022,Shigeaki,Butner,1996-07-13,Senior Staff
452347,Shigeichiro,Brattka,1996-07-13,Senior Staff
455284,Luisa,Baig,1996-07-12,Senior Engineer
435060,Moie,Lieblein,1996-07-12,Staff
282585,Zijian,Lammel,1996-07-01,Staff
84922,Parke,Unno,1996-07-01,Engineer
486068,Yefim,Bernardeschi,1996-06-26,Senior Staff
297431,Cathie,Ratnakar,1996-06-23,Senior Staff
453760,Ewing,Rajala,1996-06-21,Senior Staff
287808,Vidar,Ozeki,1996-06-17,Technique Leader
418566,Kazuhide,Snedden,1996-06-14,Senior Engineer
50831,Marie,Khalid,1996-06-11,Senior Engineer
227901,Francesca,Azuma,1996-06-08,Staff
431887,Poorav,Ranst,1996-06-01,Senior Engineer
400796,Bodo,Halevi,1996-05-30,Engineer
420732,Willard,Morrin,1996-05-27,Staff
424984,Vasilis,Waleschkowski,1996-05-26,Engineer
286986,Woody,Trelles,1996-05-23,Senior Engineer
98639,Florina,Assaf,1996-05-18,Staff
44962,Sariel,Wynblatt,1996-05-18,Assistant Engineer
224390,True,Shobatake,1996-05-17,Senior Staff
92598,Ranga,Merro,1996-05-11,Assistant Engineer
16528,Gaurav,Swick,1996-05-07,Assistant Engineer
244714,Poorav,Clouatre,1996-05-06,Senior Engineer
39036,Changho,Cappelli,1996-05-04,Staff
264167,Baoqiu,Tomescu,1996-05-01,Senior Engineer
210292,Lihong,Zeilberger,1996-04-28,Staff
284431,Pintsang,Fujisawa,1996-04-16,Senior Staff
488540,Breannda,Maquelin,1996-04-12,Senior Staff
217363,Horward,Marzano,1996-04-11,Staff
229404,Gilbert,Kilgour,1996-04-05,Staff
239067,Tadahiko,Pocchiola,1996-04-02,Staff
418239,Josyula,Motley,1996-03-26,Senior Engineer
465085,Vidar,Gunderson,1996-03-18,Senior Staff
218831,Unal,DuBourdieux,1996-03-13,Engineer
24080,Jaana,Perez,1996-03-11,Technique Leader
429481,Subhada,Emmerich,1996-03-06,Engineer
453154,Gao,Lally,1996-03-01,Staff
204133,Susuma,Bergere,1996-02-25,Senior Staff
64632,Zsolt,Brender,1996-02-21,Senior Staff
220582,Poornachandra,Zielinski,1996-02-13,Senior Staff
452957,Alair,Nanard,1996-02-10,Staff
96579,Mohan,Tasistro,1996-02-10,Engineer
242800,Kazuyasu,Levergood,1996-02-10,Engineer
52639,Arup,Colorni,1996-02-05,Senior Staff
284954,Anneke,Hammerschmidt,1996-01-30,Engineer
467886,Sivanarayana,Chandrasekhar,1996-01-24,Senior Staff
290284,Kwangjo,Menhardt,1996-01-11,Engineer
288563,Cristinel,Gerlach,1996-01-09,Engineer
41137,Bikash,Buchter,1996-01-08,Senior Staff
212361,Claudi,Stanfel,1996-01-07,Senior Engineer
71066,Domenick,Basart,1996-01-05,Senior Staff
461270,Mrinalini,Mawatari,1996-01-03,Staff
233394,Khalid,Lenart,1995-12-24,Engineer
41114,Petter,Thummel,1995-12-24,Technique Leader
415338,Shigeo,Emmart,1995-12-24,Assistant Engineer
225788,Ipke,Kieras,1995-12-18,Engineer
472052,Godehard,Chinal,1995-12-09,Assistant Engineer
278386,Caolyn,Poujol,1995-12-03,Technique Leader
425540,Paddy,Zumaque,1995-11-12,Senior Staff
231069,Trygve,Siksek,1995-11-09,Staff
453688,Chinya,Leslie,1995-10-28,Engineer
249504,Dmitry,Velardi,1995-10-20,Engineer
442653,Mona,Hebden,1995-10-20,Engineer
229248,Harjit,Terekhov,1995-10-19,Staff
466745,Boalin,Birsak,1995-10-16,Staff
274071,Mingsen,Weiland,1995-10-12,Staff
435042,Brigham,Borstler,1995-10-09,Staff
441536,Chinho,Collette,1995-10-09,Senior Engineer
103310,Visit,Swen,1995-10-02,Senior Staff
449189,Jahangir,Bernatsky,1995-09-30,Senior Staff
202882,Isaac,Koshino,1995-09-28,Senior Engineer
60000,Heekeun,Emmart,1995-09-23,Assistant Engineer
86672,JoAnne,Anido,1995-09-15,Staff
263186,Danny,Lowrie,1995-09-13,Technique Leader
105432,Mohamadou,Stafford,1995-09-12,Senior Engineer
422783,Jagoda,Uhrig,1995-09-01,Engineer
62245,Adel,Bressoud,1995-08-30,Engineer
293746,Sanjay,Litecky,1995-08-27,Engineer
86655,Zhenhua,Lorys,1995-08-21,Engineer
220699,Nahid,Gyimothy,1995-08-18,Staff
229098,Berry,Yurek,1995-08-16,Senior Staff
88647,Vasiliy,Ratnaker,1995-08-09,Engineer
69052,Shietung,Shrader,1995-08-05,Senior Staff
400683,Kamakshi,Manders,1995-08-05,Staff
219052,Marsal,Acton,1995-08-02,Staff
222770,Kazuhiko,Kushner,1995-08-01,Senior Engineer
276563,Gift,Solares,1995-08-01,Senior Staff
235096,Sverrir,Gyimothy,1995-07-30,Senior Staff
297954,Sailaja,Fujisaki,1995-07-24,Assistant Engineer
88958,Vojin,Coombs,1995-07-23,Senior Staff
